hh,vre_id,cf
867,1,0.0
868,1,0.0
869,1,0.0
870,1,0.0
871,1,0.0
872,1,0.0
873,1,0.0
874,1,0.0
875,1,0.0
876,1,0.0
877,1,0.0
878,1,0.0
879,1,0.0
880,1,0.0
881,1,0.015
882,1,0.015
883,1,0.091
884,1,0.091
885,1,0.174
886,1,0.174
887,1,0.219
888,1,0.219
889,1,0.219
890,1,0.219
891,1,0.173
892,1,0.173
893,1,0.099
894,1,0.099
895,1,0.024
896,1,0.024
897,1,0.0
898,1,0.0
899,1,0.0
900,1,0.0
901,1,0.0
902,1,0.0
903,1,0.0
904,1,0.0
905,1,0.0
906,1,0.0
907,1,0.0
908,1,0.0
909,1,0.0
910,1,0.0
911,1,0.0
912,1,0.0
913,1,0.0
914,1,0.0
915,1,0.0
916,1,0.0
917,1,0.0
918,1,0.0
919,1,0.0
920,1,0.0
921,1,0.0
922,1,0.0
923,1,0.0
924,1,0.0
925,1,0.0
926,1,0.0
927,1,0.0
928,1,0.0
929,1,0.013
930,1,0.013
931,1,0.058
932,1,0.058
933,1,0.116
934,1,0.116
935,1,0.153
936,1,0.153
937,1,0.152
938,1,0.152
939,1,0.117
940,1,0.117
941,1,0.061
942,1,0.061
943,1,0.013
944,1,0.013
945,1,0.0
946,1,0.0
947,1,0.0
948,1,0.0
949,1,0.0
950,1,0.0
951,1,0.0
952,1,0.0
953,1,0.0
954,1,0.0
955,1,0.0
956,1,0.0
957,1,0.0
958,1,0.0
959,1,0.0
960,1,0.0
961,1,0.0
962,1,0.0
963,1,0.0
964,1,0.0
965,1,0.0
966,1,0.0
967,1,0.0
968,1,0.0
969,1,0.0
970,1,0.0
971,1,0.0
972,1,0.0
973,1,0.0
974,1,0.0
975,1,0.0
976,1,0.0
977,1,0.004
978,1,0.004
979,1,0.029
980,1,0.029
981,1,0.061
982,1,0.061
983,1,0.084
984,1,0.084
985,1,0.089
986,1,0.089
987,1,0.075
988,1,0.075
989,1,0.045
990,1,0.045
991,1,0.011
992,1,0.011
993,1,0.0
994,1,0.0
995,1,0.0
996,1,0.0
997,1,0.0
998,1,0.0
999,1,0.0
1000,1,0.0
1001,1,0.0
1002,1,0.0
1003,1,0.0
1004,1,0.0
1005,1,0.0
1006,1,0.0
1007,1,0.0
1008,1,0.0
1009,1,0.0
1010,1,0.0
1011,1,0.0
1012,1,0.0
1013,1,0.0
1014,1,0.0
1015,1,0.0
1016,1,0.0
1017,1,0.0
1018,1,0.0
1019,1,0.0
1020,1,0.0
1021,1,0.0
1022,1,0.0
1023,1,0.0
1024,1,0.0
1025,1,0.019
1026,1,0.019
1027,1,0.084
1028,1,0.084
1029,1,0.155
1030,1,0.155
1031,1,0.198
1032,1,0.198
1033,1,0.2
1034,1,0.2
1035,1,0.179
1036,1,0.179
1037,1,0.122
1038,1,0.122
1039,1,0.036
1040,1,0.036
1041,1,0.0
1042,1,0.0
1043,1,0.0
1044,1,0.0
1045,1,0.0
1046,1,0.0
1047,1,0.0
1048,1,0.0
1049,1,0.0
1050,1,0.0
1051,1,0.0
1052,1,0.0
1053,1,0.0
1054,1,0.0
1055,1,0.0
1056,1,0.0
1057,1,0.0
1058,1,0.0
1059,1,0.0
1060,1,0.0
1061,1,0.0
1062,1,0.0
1063,1,0.0
1064,1,0.0
1065,1,0.0
1066,1,0.0
1067,1,0.0
1068,1,0.0
1069,1,0.0
1070,1,0.0
1071,1,0.0
1072,1,0.0
1073,1,0.025
1074,1,0.025
1075,1,0.092
1076,1,0.092
1077,1,0.149
1078,1,0.149
1079,1,0.159
1080,1,0.159
1081,1,0.143
1082,1,0.143
1083,1,0.107
1084,1,0.107
1085,1,0.06
1086,1,0.06
1087,1,0.015
1088,1,0.015
1089,1,0.0
1090,1,0.0
1091,1,0.0
1092,1,0.0
1093,1,0.0
1094,1,0.0
1095,1,0.0
1096,1,0.0
1097,1,0.0
1098,1,0.0
1099,1,0.0
1100,1,0.0
1101,1,0.0
1102,1,0.0
1103,1,0.0
1104,1,0.0
1105,1,0.0
1106,1,0.0
1107,1,0.0
1108,1,0.0
1109,1,0.0
1110,1,0.0
1111,1,0.0
1112,1,0.0
1113,1,0.0
1114,1,0.0
1115,1,0.0
1116,1,0.0
1117,1,0.0
1118,1,0.0
1119,1,0.0
1120,1,0.0
1121,1,0.045
1122,1,0.045
1123,1,0.158
1124,1,0.158
1125,1,0.249
1126,1,0.249
1127,1,0.29
1128,1,0.29
1129,1,0.285
1130,1,0.285
1131,1,0.241
1132,1,0.241
1133,1,0.155
1134,1,0.155
1135,1,0.05
1136,1,0.05
1137,1,0.001
1138,1,0.001
1139,1,0.0
1140,1,0.0
1141,1,0.0
1142,1,0.0
1143,1,0.0
1144,1,0.0
1145,1,0.0
1146,1,0.0
1147,1,0.0
1148,1,0.0
1149,1,0.0
1150,1,0.0
