hh,load
1090,50202
1091,51674
1092,51697
1093,51114
1094,50224
1095,49003
1096,47500
1097,45662
1098,43862
1099,41940
1100,39687
1101,37494
1102,35458
1103,33479
1104,32231
1105,31753
1106,31987
1107,32185
1108,31757
1109,31334
1110,31317
1111,31229
1112,30547
1113,29922
1114,29615
1115,29567
1116,29807
1117,30385
1118,31103
1119,32790
1120,34185
1121,36123
1122,37910
1123,39320
1124,39930
1125,40226
1126,40048
1127,39999
1128,39854
1129,39419
1130,39069
1131,38599
1132,38424
1133,38605
1134,38743
1135,39228
1136,39864
1137,41084
1138,43823
1139,47190
1140,48177
1141,47521
1142,46677
1143,45182
1144,43569
1145,42295
1146,41101
1147,39447
1148,37734
1149,36233
1150,35004
1151,33276
1152,32265
1153,31975
1154,32087
1155,31744
1156,31167
1157,30940
1158,30666
1159,30512
1160,29803
1161,29510
1162,29084
1163,29081
1164,29114
1165,29708
1166,29967
1167,30145
1168,30161
1169,31553
1170,33473
1171,35542
1172,36936
1173,38170
1174,38870
1175,39571
1176,39975
1177,40509
1178,40788
1179,40505
1180,40255
1181,40282
1182,40183
1183,40504
1184,41171
1185,42388
1186,44550
1187,46208
1188,46668
1189,46397
1190,45350
1191,44274
1192,43023
1193,41986
1194,40301
1195,39048
1196,36793
1197,35071
1198,33182
1199,31118
1200,30219
1201,30199
1202,30541
1203,30820
1204,30312
1205,29941
1206,29895
1207,29806
1208,29336
1209,29089
1210,29084
1211,29492
1212,30333
1213,32633
1214,35970
1215,40495
1216,43195
1217,43925
1218,43923
1219,44600
1220,44576
1221,44382
1222,44315
1223,44350
1224,44371
1225,44561
1226,44530
1227,44557
1228,44452
1229,44637
1230,44685
1231,44780
1232,45808
1233,47241
1234,49816
1235,51963
1236,52281
1237,51805
1238,50903
1239,49697
1240,48212
1241,46808
1242,45079
1243,43263
1244,40657
1245,38325
1246,36202
1247,33859
1248,32713
1249,32484
1250,32674
1251,32859
1252,32536
1253,32591
1254,32542
1255,32288
1256,31640
1257,31042
1258,31058
1259,31573
1260,32743
1261,35101
1262,38256
1263,42574
1264,45126
1265,45935
1266,45710
1267,46285
1268,46387
1269,46216
1270,46015
1271,45951
1272,45679
1273,45927
1274,45738
1275,45661
1276,45554
1277,45744
1278,45682
1279,45809
1280,46750
1281,48094
1282,50308
1283,52326
1284,52379
1285,51700
1286,50841
1287,49652
1288,48152
1289,46601
1290,44590
1291,42343
1292,39771
1293,37426
1294,35180
1295,32569
1296,31286
1297,31397
1298,31824
1299,32055
1300,31354
1301,30642
1302,30631
1303,30151
1304,29458
1305,29002
1306,28931
1307,29324
1308,30183
1309,32412
1310,35754
1311,40075
1312,42208
1313,43159
1314,43418
1315,44075
1316,44371
1317,44688
1318,44822
1319,44937
1320,44912
1321,44985
1322,44449
1323,44076
1324,43651
1325,43820
1326,43670
1327,43860
1328,44817
1329,46167
1330,48410
1331,50845
1332,51349
1333,50969
1334,50346
1335,49144
1336,47889
1337,46485
1338,44570
1339,42175
1340,39835
1341,37516
1342,35119
1343,32830
1344,32098
1345,32496
1346,32811
1347,32694
1348,32084
1349,31653
1350,31771
1351,31316
1352,30776
1353,30240
1354,30469
1355,30707
1356,31535
1357,34265
1358,37966
1359,42262
1360,44291
1361,45099
1362,45180
1363,45954
1364,46256
1365,46358
1366,46303
1367,46355
1368,46443
1369,46750
1370,46700
1371,46849
1372,46737
1373,46806
1374,46616
1375,46946
1376,48036
1377,49334
1378,51101
1379,52551
1380,52850
1381,52436
1382,52289
1383,51300
1384,49783
1385,48412
1386,46682
1387,44362
1388,41708
1389,39260
1390,37171
1391,34733
1392,33437
1393,33615
1394,34015
1395,34236
1396,33719
1397,33482
1398,33748
1399,33250
1400,32615
1401,32248
1402,32181
1403,32693
1404,33908
1405,35961
1406,38909
1407,42967
1408,44980
1409,45816
1410,46179
1411,46685
1412,46929
1413,46922
1414,46660
1415,46544
1416,46376
1417,46011
1418,45537
1419,45071
1420,44689
1421,44747
1422,44539
1423,44467
1424,44950
1425,46107
1426,47889
1427,50640
1428,51124
1429,50694
1430,49967
1431,48790
1432,47108
1433,45734
1434,43867
1435,41898
1436,39788
1437,37883
1438,36048
1439,34002
1440,33087
1441,33135
1442,33442
1443,33310
1444,32797
1445,32499
1446,32288
1447,31656
1448,30848
1449,30317
1450,29938
1451,29909
1452,30407
1453,31174
1454,31338
1455,32943
1456,34091
1457,36139
1458,38437
1459,40089
1460,40906
1461,41356
1462,41496
1463,41445
1464,41378
1465,41255
1466,41058
1467,40634
1468,40265
1469,40082
1470,39665
1471,39635
1472,39919
1473,40674
1474,42577
1475,45492
1476,46701
1477,46366
1478,45603
1479,43807
1480,42344
1481,41108
1482,40072
1483,38421
1484,36639
1485,35019
1486,33861
1487,32066
1488,31082
1489,30822
1490,30967
1491,30705
1492,30074
1493,29893
1494,29887
1495,29530
1496,29177
1497,28917
1498,28567
1499,28474
1500,28526
1501,29104
1502,29432
1503,29313
1504,29714
1505,31441
1506,33648
1507,35516
1508,37201
1509,38540
1510,38975
1511,39633
1512,40024
1513,40534
1514,40682
1515,40455
1516,40113
1517,40262
1518,40246
1519,40669
1520,41338
1521,42551
1522,44329
1523,47369
1524,48286
1525,48150
1526,47134
1527,46590
1528,45141
1529,44185
1530,42611
1531,41310
1532,39300
1533,37606
1534,35642
1535,33710
1536,32692
1537,32700
1538,32941
1539,33195
1540,33050
1541,32782
1542,32884
1543,32840
1544,32681
1545,32419
1546,32456
1547,32792
1548,33958
1549,36060
1550,39667
1551,44299
1552,46450
1553,47494
1554,47771
1555,48766
1556,49166
1557,49309
1558,49400
1559,49406
1560,49248
1561,49376
1562,49115
1563,48862
1564,48662
1565,48705
1566,48542
1567,48480
1568,49065
1569,49748
1570,50984
1571,52606
1572,53519
1573,53179
1574,53424
1575,52745
1576,51505
1577,49985
1578,48113
1579,45994
1580,43443
1581,41095
1582,38697
1583,36286
1584,35465
1585,35499
1586,35578
1587,35425
1588,34978
1589,34830
1590,34666
1591,34660
1592,34141
1593,33895
1594,33921
1595,33958
1596,34934
1597,37303
1598,40961
1599,45357
1600,47284
1601,47886
1602,48067
1603,49138
1604,49269
1605,49034
1606,48803
1607,48595
1608,48262
1609,47941
1610,47565
1611,47883
1612,47703
1613,47894
1614,47700
1615,47392
1616,48113
1617,48854
1618,50368
1619,52269
1620,52708
1621,52477
1622,52057
1623,51881
1624,50903
1625,49775
1626,47618
1627,45594
1628,43069
1629,40721
1630,38133
1631,35568
1632,34395
1633,34446
1634,34817
1635,34621
1636,34150
1637,33938
1638,34264
1639,34064
1640,33624
1641,33187
1642,33312
1643,33950
1644,34846
1645,37651
1646,41256
1647,45778
1648,47526
1649,47409
1650,47397
1651,47990
1652,48017
1653,47680
1654,47240
1655,46931
1656,46760
1657,46810
1658,46442
1659,46256
1660,46248
1661,46675
1662,46589
1663,46676
1664,47733
1665,48928
1666,50152
1667,51743
1668,52678
1669,52539
1670,52453
1671,52083
1672,50911
1673,49487
1674,47680
1675,45368
1676,43077
1677,40465
1678,38199
1679,35614
1680,33989
1681,33462
1682,34499
1683,34923
1684,34428
1685,34185
1686,34318
1687,33927
1688,33435
1689,33055
1690,33043
1691,33475
1692,34420
1693,36685
1694,40132
1695,44548
1696,46795
1697,47471
1698,47754
1699,48609
1700,48929
1701,49024
1702,48890
1703,48929
1704,48769
1705,48994
1706,48854
1707,48575
1708,48452
1709,48274
1710,47979
1711,48031
1712,48759
1713,49660
1714,50887
1715,52471
1716,53253
1717,52858
1718,52511
1719,52189
1720,50919
1721,49524
1722,47633
1723,45532
1724,43032
1725,40761
1726,38451
1727,35965
1728,35176
1729,35050
1730,35476
1731,35450
1732,34958
1733,34523
1734,34504
1735,34130
1736,33644
1737,33147
1738,33302
1739,33760
1740,34995
1741,37668
1742,40341
1743,44592
1744,46596
1745,47232
1746,47169
1747,47716
1748,47822
1749,47571
1750,47026
1751,46528
1752,46218
1753,46111
1754,45625
1755,45219
1756,44726
1757,44605
1758,44341
1759,44389
1760,45214
1761,46468
1762,48100
1763,50530
1764,52459
